url,name,designation,college,department,research_area,research_area_details,experience,institution_name,,,,,,,,,,
https://nitt.irins.org/profile/92993,Prof K Muthukumar,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,Energy and Environment,"[""Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/150374,Dr Jyoti Sahu,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Mathematical Modelling; Thermodynamics; Electrochemistry, Interface Science, Interfacial Rheology, Polymer Adsorption, Isothermal Titration Calorimetry, Goniometer","[""Assistant Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli"", ""Post-Doctoral Fellow | Department of Chemical Engineering | Indian Institute of Technology Kanpur"", ""Research Scientist | Department of Chemical Engineering | Indian Institute of Technology Kanpur"", ""Research Associate | Department of Chemical Engineering | Indian Institute of Technology Delhi"", ""Research Associate | Department of Chemical Engineering | Indian Institute of Technology Bombay""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54060,Prof P Kalaichelvi,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Hydrodynamics of Jet mixers, Studies on Compact Heat Exchangers, Mixed solvent Extraction, Bioleaching, Chiral separation using SMB.","[""Professor | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54009,Prof J Sarat Chandra Babu,Professor (HAG),"National Institute of Technology, Tiruchirappalli",Department of Chemical Engineering,Chemical Engineering,"Climate Change, CCU Process Development, Process Modeling, Nano-Catalysis, Powder Characterization and Handling.","[""Professor (HAG) | Department of Chemical Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54069,Prof L Cindrella,Professor (HAG),"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Physical Chemistry,"Solar Selective Coatings, Fuel Cell Components, Conducting Polymers, Zeolite Based Materials.","[""Professor (HAG) | Department of Chemistry | National Institute of Technology, Tiruchirappalli"", ""Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli"", ""Associate Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54113,Prof R Karvembu,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Inorganic and Nuclear Chemistry,"Tertiary Phosphine/Arsine Complexes of Ru(II) and Ru(III) with Various Ligands, Coordination Chemistry of Ni, Pd, Pt, Cu and Co, Catalysis by Coordination/Organometallic Compounds, DNA Binding, Photocleavage and Biological Studies of Metal Complexes, Nano Catalysis, Green Catalysis and Metal-Enzyme Combo Catalysis.","[""Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54129,Dr Biju V M,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Applied Chemistry,Analytical Chemistry.,"[""Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/314008,Dr Arivazhagan Chinnappa,Assistant Professor (Grade-II),"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Multidisciplinary Chemistry,"Multi-Stimuli Responsive Inorganic and Organic Hybrid
Materials, Main Group Containing Fluorescent Polymers,
Organic Light Emitting Diodes, Coordination Cages","[""Assistant Professor (Grade-II) | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93003,Dr Sarthak Mandal,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Physical Chemistry,"Physical Chemistry, Spectroscopy and Chemical Dynamics","[""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/161112,Dr Jothi Lakshmi Nallasivam,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Applied Chemistry,Chemistry,"[""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/161117,Dr Baby Viswambharan,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Organic Chemistry,Chemistry,"[""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
